City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Harper,4.38,-7.72,80.73,78,71,10.6,LR,1592321420
Batticaloa,7.71,81.69,85.42,68,100,7.18,LK,1592321466
San Cristobal,7.77,-72.22,87.8,55,40,6.93,VE,1592321408
Rudnichnyy,59.62,52.47,67.32,67,67,7.78,RU,1592321466
Grand-Santi,4.25,-54.38,88.27,61,36,3.51,GF,1592321466
Tessalit,20.2,1.01,110.5,5,0,10.54,ML,1592321466
Vilyuysk,63.76,121.62,59.47,85,51,3.31,RU,1592321466
Huadian,42.96,126.75,58.53,68,0,1.81,CN,1592321467
Vardø,70.37,31.11,50.0,68,40,19.46,NO,1592321467
Tevaitoa,-16.78,-151.5,80.02,81,83,13.18,PF,1592321467
Amoy,24.48,118.08,86.0,79,0,4.47,CN,1592321467
San Quintín,30.48,-115.95,65.12,72,95,5.37,MX,1592321467
Tondano,1.3,124.91,77.0,94,20,3.36,ID,1592321467
Verkhniy Baskunchak,48.23,46.72,84.06,16,33,9.22,RU,1592321467
Saskylakh,71.92,114.08,49.69,56,0,6.93,RU,1592321390
Berlevåg,70.86,29.09,46.4,65,75,21.92,NO,1592321468
Quang Ngai,15.12,108.8,79.14,83,100,5.53,VN,1592321396
Shingū,33.73,135.98,67.01,67,84,6.24,JP,1592321468
Busselton,-33.65,115.33,57.99,62,94,16.06,AU,1592321380
Kinkala,-4.36,14.76,80.6,74,0,5.82,CG,1592321468
Raja,8.46,25.68,83.98,61,40,3.76,SS,1592321468
Hofn,64.25,-15.21,49.28,71,100,7.31,IS,1592321468
Le Mars,42.79,-96.17,82.0,68,1,25.28,US,1592321469
Madison,34.73,-86.57,75.99,64,1,4.7,US,1592321340
Saint-Augustin,51.23,-58.65,73.11,26,46,13.42,CA,1592321469
Cap Malheureux,-19.98,57.61,69.01,77,11,5.01,MU,1592321469
Arraial do Cabo,-22.97,-42.03,75.2,64,75,11.41,BR,1592321399
Westport,41.14,-73.36,73.99,38,1,13.87,US,1592321408
Bahía Blanca,-38.72,-62.27,56.19,58,100,5.82,AR,1592321470
West Wendover,40.74,-114.07,62.6,55,90,4.7,US,1592321275
Matagami,49.75,-77.63,71.6,35,75,11.41,CA,1592321470
Stokmarknes,68.56,14.91,57.2,62,4,10.29,NO,1592321470
Kaitangata,-46.28,169.85,59.0,49,100,4.59,NZ,1592321405
Tuatapere,-46.13,167.68,51.06,85,77,6.11,NZ,1592321470
Rawson,-43.3,-65.1,58.86,38,28,20.11,AR,1592321470
Caravelas,-17.71,-39.25,79.97,66,27,11.14,BR,1592321470
Dawson Creek,55.77,-120.24,50.0,87,90,8.05,CA,1592321471
Ilulissat,69.22,-51.1,42.8,48,40,4.7,GL,1592321471
Cape Town,-33.93,18.42,62.6,55,0,8.05,ZA,1592321106
Pīpār,26.39,73.54,103.08,13,3,4.83,IN,1592321471
Bay Roberts,47.6,-53.26,68.0,45,0,10.04,CA,1592321471
Albion,42.24,-84.75,75.0,60,1,4.54,US,1592321334
Hilo,19.73,-155.09,71.6,83,90,5.82,US,1592321394
George Town,5.41,100.34,82.4,88,20,1.86,MY,1592321236
Yining,29.04,114.56,78.12,85,54,3.11,CN,1592321472
Howard Springs,-12.5,131.05,80.6,34,40,9.17,AU,1592321472
Alofi,-19.06,-169.92,71.6,60,0,12.75,NU,1592321397
Iqaluit,63.75,-68.51,37.4,69,90,6.93,CA,1592321472
Bethel,41.37,-73.41,72.0,46,40,11.41,US,1592321472
Redmond,47.67,-122.12,55.99,91,100,2.28,US,1592321472
Port Lincoln,-34.73,135.87,54.46,76,76,3.2,AU,1592321403
Uppsala County,60.0,17.75,60.01,100,100,3.36,SE,1592321472
Kapaa,22.08,-159.32,75.2,94,90,13.87,US,1592321377
Pecos,31.42,-103.49,78.8,50,1,14.99,US,1592321397
Palauig,15.44,119.9,83.26,74,0,4.29,PH,1592321473
Mugur-Aksy,50.35,90.5,51.28,72,35,3.09,RU,1592321473
Bukachacha,52.98,116.92,53.78,88,7,2.48,RU,1592321473
Solnechnyy,50.72,136.63,44.65,85,98,7.38,RU,1592321473
Bambous Virieux,-20.34,57.76,71.6,73,75,12.75,MU,1592321378
Khatanga,71.97,102.5,55.58,45,100,6.82,RU,1592321382
Roebourne,-20.78,117.13,73.26,42,0,7.76,AU,1592321438
Kingaroy,-26.53,151.83,59.0,93,90,6.93,AU,1592321474
Mount Isa,-20.73,139.5,64.4,35,0,11.41,AU,1592321474
Flinders,-34.58,150.86,60.01,62,8,3.0,AU,1592321394
Noumea,-22.28,166.46,62.6,77,0,1.12,NC,1592321474
Prince Rupert,54.32,-130.32,51.8,87,90,4.7,CA,1592321459
Chokurdakh,70.63,147.92,71.37,40,31,5.57,RU,1592321401
Quatre Cocos,-20.21,57.76,71.6,73,75,12.75,MU,1592321475
Nome,64.5,-165.41,50.0,87,1,0.74,US,1592321409
Butaritari,3.07,172.79,83.1,80,52,14.99,KI,1592321400
Valguarnera Caropepe,37.5,14.39,79.0,26,15,10.0,IT,1592321475
Saint Paul Harbor,57.79,-152.41,51.8,81,90,10.29,US,1592321380
Departamento de Maldonado,-34.67,-54.92,66.0,87,99,1.01,UY,1592321320
Chui,-33.7,-53.46,66.18,79,8,9.55,UY,1592321475
Hamilton,39.18,-84.53,75.99,53,1,4.7,US,1592321437
Wamba,8.93,8.6,89.89,56,61,5.12,NG,1592321318
Provideniya,64.38,-173.3,52.11,58,85,1.77,RU,1592321390
Darłowo,54.42,16.41,62.28,74,21,7.74,PL,1592321476
Vila Velha,-20.33,-40.29,77.0,73,75,13.87,BR,1592321246
Pinega,64.7,43.39,49.78,50,68,11.95,RU,1592321476
Alvarães,-3.22,-64.8,78.8,94,40,6.93,BR,1592321476
Cabo San Lucas,22.89,-109.91,87.8,42,5,3.36,MX,1592321106
Hithadhoo,-0.6,73.08,84.78,75,0,8.81,MV,1592321382
Lompoc,34.64,-120.46,55.4,87,73,4.7,US,1592321388
Shenzhen,22.55,114.07,82.0,96,0,8.43,CN,1592321184
Arman',59.7,150.17,49.82,60,39,1.23,RU,1592321377
Jieshi,22.81,115.83,82.09,84,0,9.13,CN,1592321477
Potenza,40.64,15.81,53.6,87,90,9.17,IT,1592321477
Berdigestyakh,62.1,126.7,54.52,84,0,5.91,RU,1592321477
Idlib,35.93,36.63,82.4,42,0,19.46,SY,1592321477
Avarua,-21.21,-159.78,69.8,68,6,3.36,CK,1592321391
Isehara,35.39,139.31,75.0,69,0,1.01,JP,1592321477
Guiratinga,-16.35,-53.76,81.79,42,0,9.62,BR,1592321477
Ponta do Sol,32.67,-17.1,71.6,88,40,8.05,PT,1592321389
Cartagena,10.4,-75.51,87.8,79,40,6.93,CO,1592321478
Warmbad,-28.45,18.73,58.75,29,0,10.33,NA,1592321414
Pevek,69.7,170.31,43.27,69,0,1.72,RU,1592321400
Cairns,-16.92,145.77,73.4,78,40,8.05,AU,1592321197
Sur,22.57,59.53,91.45,55,17,11.01,OM,1592321478
Nabire,-3.37,135.48,74.61,86,14,4.29,ID,1592321478
Pudozh,61.81,36.53,70.14,56,2,10.56,RU,1592321478
Eyl,7.98,49.82,89.83,44,66,21.61,SO,1592321478
Arlit,18.74,7.39,112.37,6,0,17.02,NE,1592321479
Bitung,1.45,125.18,77.0,94,20,3.36,ID,1592321479
Cidreira,-30.18,-50.21,65.08,77,1,11.61,BR,1592321230
Port Elizabeth,-33.92,25.57,62.6,77,0,12.75,ZA,1592321349
Vilhena,-12.74,-60.15,77.0,69,0,10.29,BR,1592321479
Callaway,30.15,-85.57,82.0,69,1,10.29,US,1592321479
Svirstroy,60.8,33.72,79.48,47,1,2.84,RU,1592321479
Karatuzskoye,53.61,92.87,49.53,86,0,2.08,RU,1592321479
Alice Springs,-23.7,133.88,37.4,44,0,1.12,AU,1592321480
Te Anau,-45.42,167.72,51.39,84,82,6.13,NZ,1592321480
Tegul'det,57.31,88.17,45.64,84,50,2.06,RU,1592321480
Pundaguitan,6.37,126.17,83.17,73,2,5.57,PH,1592321480
Laguna,38.42,-121.42,64.99,67,1,8.05,US,1592321480
Basco,20.45,121.97,83.91,79,96,10.29,PH,1592321480
La Ronge,55.1,-105.28,62.6,59,40,6.93,CA,1592321480
Aklera,24.42,76.57,95.9,30,99,14.9,IN,1592321480
Torrox,36.76,-3.95,82.99,51,91,8.99,ES,1592321480
Sinnamary,5.38,-52.95,81.5,85,46,10.42,GF,1592321481
Orange,33.7,-117.77,66.2,72,90,5.82,US,1592321411
Cururupu,-1.83,-44.87,87.85,58,9,6.98,BR,1592321481
Inírida,3.87,-67.92,80.96,90,32,2.39,CO,1592321481
Severomuysk,56.15,113.43,49.77,88,90,3.89,RU,1592321481
Tuktoyaktuk,69.45,-133.04,55.4,62,75,13.87,CA,1592321383
Nakhon Phanom,17.41,104.78,77.4,90,100,4.68,TH,1592321481
Hermanus,-34.42,19.23,66.0,64,0,4.99,ZA,1592321380
Mar del Plata,-38.0,-57.56,63.0,93,90,8.05,AR,1592321379
Tottori-shi,35.5,134.23,62.15,87,5,3.33,JP,1592321362
Sawtell,-30.38,153.1,54.0,100,1,3.36,AU,1592321482
Dingle,11.0,122.67,78.04,77,93,3.8,PH,1592321407
Port Hardy,50.7,-127.42,55.4,82,20,4.7,CA,1592321393
Auki,-8.77,160.7,78.64,86,100,2.95,SB,1592321384
Hong Kong,22.29,114.16,82.0,74,0,5.99,HK,1592321178
Kuruman,-27.45,23.43,59.0,21,3,13.94,ZA,1592321482
Airai,-8.93,125.41,57.52,100,27,4.52,TL,1592321413
Zhangye,38.93,100.45,71.26,32,99,3.8,CN,1592321393
Okhotsk,59.38,143.3,44.47,83,3,2.93,RU,1592321483
Isangel,-19.55,169.27,73.04,79,1,11.63,VU,1592321230
Saint George,37.1,-113.58,84.0,15,1,13.87,US,1592321388
Maputo,-25.97,32.59,66.2,68,90,9.17,MZ,1592321323
Constantine,36.37,6.61,86.0,28,40,12.75,DZ,1592321483
High Level,58.52,-117.14,48.2,100,90,11.41,CA,1592321483
Champerico,14.3,-91.92,84.2,79,90,4.61,GT,1592321483
Kavieng,-2.57,150.8,83.43,70,96,8.61,PG,1592321483
Luganville,-15.53,167.17,77.09,84,65,11.5,VU,1592321484
Kahului,20.89,-156.47,75.2,78,20,11.41,US,1592321449
Arua,3.02,30.91,69.01,84,36,3.83,UG,1592321484
Clyde River,70.47,-68.59,33.8,80,75,6.93,CA,1592321484
Ust'-Ordynskiy,52.8,104.75,57.2,87,40,6.71,RU,1592321484
Yetkul',54.82,61.59,77.0,29,20,4.47,RU,1592321484
Bambanglipuro,-7.95,110.28,77.72,89,15,8.88,ID,1592321484
Nkhotakota,-12.93,34.3,69.62,57,1,9.98,MW,1592321485
Kruisfontein,-34.0,24.73,55.35,83,0,8.37,ZA,1592321485
Anloga,5.79,0.9,86.0,74,20,12.75,GH,1592321485
Vestmannaeyjar,63.44,-20.27,50.0,66,40,16.11,IS,1592321381
Grindavik,63.84,-22.43,48.2,76,75,16.11,IS,1592321398
Ürümqi,43.8,87.6,84.2,20,100,4.47,CN,1592321485
Constitución,-35.33,-72.42,55.54,92,100,15.52,CL,1592321485
Port Blair,11.67,92.75,83.19,81,100,16.44,IN,1592321485
Kita,13.03,-9.49,103.24,27,65,3.36,ML,1592321486
Baní,18.28,-70.33,88.0,66,40,11.41,DO,1592321486
Taunggyi,20.78,97.03,64.62,100,100,5.59,MM,1592321486
Dickinson,29.46,-95.05,88.0,62,20,9.19,US,1592321486
Ganta,7.3,-8.53,86.32,61,89,2.66,LR,1592321486
Altay,47.87,88.12,66.81,44,48,6.29,CN,1592321456
Awjilah,29.11,21.29,88.0,28,0,23.0,LY,1592321486
Los Llanos de Aridane,28.66,-17.92,75.2,88,75,5.82,ES,1592321207
Nemuro,43.32,145.57,54.14,99,100,9.26,JP,1592321407
Thinadhoo,0.53,72.93,84.27,77,1,7.65,MV,1592321487
Severo-Kuril'sk,50.68,156.12,41.32,90,95,11.32,RU,1592321487
Pasni,25.26,63.47,84.67,88,1,10.4,PK,1592321487
Ulagan,50.63,87.96,52.63,76,53,0.65,RU,1592321487
Lac-Mégantic,45.58,-70.88,73.0,39,80,1.99,CA,1592321487
Mastic Beach,40.77,-72.85,71.6,40,1,8.05,US,1592321487
Litovko,49.24,135.17,47.35,78,77,6.96,RU,1592321487
Belle Fourche,44.67,-103.85,82.0,22,100,8.99,US,1592321487
Norman Wells,65.28,-126.83,57.2,71,75,16.11,CA,1592321377
Bathsheba,13.22,-59.52,87.8,58,20,18.34,BB,1592321488
Dubti,11.74,41.09,104.34,16,44,12.73,ET,1592321488
Dera Bugti,29.03,69.15,101.73,8,0,4.88,PK,1592321488
Porto Seguro,-16.45,-39.06,78.8,69,75,10.29,BR,1592321391
Narsaq,60.92,-46.05,41.0,86,75,5.82,GL,1592321229
Ancud,-41.87,-73.82,51.01,100,40,11.41,CL,1592321390
Leningradskiy,69.38,178.42,44.42,82,0,5.99,RU,1592321488
Rosarito,32.33,-117.03,63.0,87,90,4.7,MX,1592321489
Nicoya,10.15,-85.45,82.4,83,40,3.36,CR,1592321402
Kalur Kot,32.16,71.26,103.86,7,0,4.54,PK,1592321489
Longyearbyen,78.22,15.64,41.0,60,75,10.29,SJ,1592321375
Mareeba,-17.0,145.43,73.4,78,40,8.05,AU,1592321489
Lorengau,-2.02,147.27,82.38,74,51,7.14,PG,1592321408
Perth,-31.93,115.83,55.99,76,0,6.93,AU,1592321297
Saldanha,-33.01,17.94,71.6,30,0,4.7,ZA,1592321393
Camalú,30.85,-116.07,57.99,63,89,1.99,MX,1592321490
Nantucket,41.28,-70.1,66.2,59,1,19.46,US,1592321376
Gao,16.64,1.64,113.72,5,0,13.94,ML,1592321490
Bonthe,7.53,-12.51,83.41,77,93,9.04,SL,1592321490
Guerrero Negro,27.98,-114.06,67.86,70,61,13.51,MX,1592321490
Tekeli,44.83,78.82,66.18,42,90,3.56,KZ,1592321380
Nayoro,44.35,142.46,55.53,93,99,3.38,JP,1592321490
Kulhudhuffushi,6.62,73.07,84.6,79,100,16.13,MV,1592321490
Balkanabat,39.51,54.37,91.65,25,0,10.6,TM,1592321491
Río Gallegos,-51.62,-69.22,30.2,100,90,9.17,AR,1592321402
Port Macquarie,-31.43,152.92,48.99,100,0,6.29,AU,1592321450
Vanavara,60.34,102.28,47.46,86,76,3.87,RU,1592321491
Malakal,9.53,31.66,87.44,50,94,2.66,SS,1592321491
Moose Factory,51.26,-80.61,69.8,49,40,18.34,CA,1592321491
Atarra,25.28,80.57,91.13,61,78,14.9,IN,1592321491
Ca Mau,9.18,105.15,80.06,85,100,1.86,VN,1592321303
Port-Cartier,50.03,-66.87,68.0,42,75,9.17,CA,1592321492
Mossamedes,-15.2,12.15,78.8,61,0,12.75,AO,1592321492
Havre-St-Pierre,50.23,-63.6,59.0,62,90,11.41,CA,1592321398
Tautira,-17.73,-149.15,80.6,74,45,11.41,PF,1592321492
Hambantota,6.12,81.12,82.4,94,40,9.17,LK,1592321374
The Valley,18.22,-63.06,87.8,66,20,18.34,AI,1592321493
Marawi,8.0,124.29,79.0,89,19,4.0,PH,1592321493
Margate,51.38,1.39,71.6,64,20,10.29,GB,1592321316
Upernavik,72.79,-56.15,31.87,95,15,9.17,GL,1592321375
Nouadhibou,20.93,-17.03,91.4,36,0,9.17,MR,1592321386
Mpanda,-6.37,31.04,70.23,43,8,3.0,TZ,1592321493
Guarda,40.54,-7.27,66.83,53,9,13.31,PT,1592321448
Pangkalanbuun,-2.68,111.62,75.87,94,20,3.15,ID,1592321493
Denizli Province,37.84,29.07,82.4,26,40,13.87,TR,1592321493
Izhma,65.01,53.91,46.89,82,100,6.02,RU,1592321493
Daitari,21.1,85.75,79.54,85,100,6.42,IN,1592321494
Fortuna,40.6,-124.16,55.99,100,75,4.47,US,1592321494
Okha,53.57,142.95,37.58,94,99,3.38,RU,1592321494
Lagoa,39.05,-27.98,64.72,82,0,11.65,PT,1592321384
Jacareacanga,-6.22,-57.75,86.0,66,5,3.36,BR,1592321494
Verkhoyansk,67.54,133.38,66.6,48,99,9.84,RU,1592321494
Huarmey,-10.07,-78.15,69.85,63,6,9.93,PE,1592321494
Talnakh,69.49,88.4,42.8,81,75,6.71,RU,1592321406
Salalah,17.02,54.09,87.8,79,75,9.17,OM,1592321495
Camaná,-16.62,-72.71,65.57,68,69,6.69,PE,1592321495
Yeppoon,-23.13,150.73,62.6,88,3,12.95,AU,1592321384
Marfino,55.7,37.38,84.2,44,5,8.95,RU,1592321495
Saint-Leu,-21.15,55.28,69.8,64,90,12.75,RE,1592321495
Newport,51.59,-3.0,71.01,62,100,9.28,GB,1592321245
Medicine Hat,50.05,-110.67,57.0,62,75,10.29,CA,1592321459
Smithers,54.78,-127.17,50.0,71,75,2.71,CA,1592321459
Bumba,2.18,22.47,82.22,68,85,1.79,CD,1592321496
Tuma,55.15,40.55,73.65,75,61,6.53,RU,1592321496
Markova,48.68,24.41,73.4,69,75,4.47,UA,1592321496
Anadyr,64.75,177.48,37.4,86,34,6.71,RU,1592321385
San Fernando,15.03,120.69,82.4,83,75,2.24,PH,1592321496
Pangnirtung,66.15,-65.71,35.6,83,90,10.29,CA,1592321382
Lárdos,36.09,28.02,87.8,52,0,3.36,GR,1592321497
Atambua,-9.11,124.89,71.73,87,41,7.02,ID,1592321413
Donskoye,45.46,41.97,80.6,47,51,4.47,RU,1592321497
Pacific Grove,36.62,-121.92,60.01,77,20,8.05,US,1592321401
Fare,-16.7,-151.02,80.67,80,43,13.94,PF,1592321497
Klaksvík,62.23,-6.59,50.0,100,100,4.7,FO,1592321497
Buala,-8.14,159.59,80.37,79,99,2.93,SB,1592321497
Kloulklubed,7.04,134.26,78.8,88,75,3.36,PW,1592321497
Amet,25.3,73.93,96.42,20,95,7.54,IN,1592321498
Inta,66.03,60.17,48.2,57,100,13.76,RU,1592321498
Bunia,1.57,30.25,68.34,83,77,2.98,CD,1592321498
Mackay,-21.15,149.2,64.99,93,90,5.82,AU,1592321498
Barabinsk,55.36,78.36,50.22,84,15,3.33,RU,1592321498
Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,100,90,6.71,RU,1592321498
Bandarbeyla,9.49,50.81,88.84,48,84,22.77,SO,1592321414
Manta,-0.95,-80.73,82.4,69,40,6.93,EC,1592321498
Morros,-9.45,-46.3,85.77,37,0,12.71,BR,1592321498
Portland,45.52,-122.68,54.0,93,90,4.7,US,1592320901
Faya,18.39,42.45,82.4,36,40,12.75,SA,1592321499
Tyukhtet,56.54,89.3,45.09,87,4,1.92,RU,1592321499
Fairbanks,64.84,-147.72,57.99,87,90,2.51,US,1592321280
Tāybād,34.74,60.78,89.73,11,0,14.29,IR,1592321499
Patacamaya,-17.23,-67.92,55.18,38,73,8.1,BO,1592321499
Nelson Bay,-32.72,152.15,50.0,87,1,6.93,AU,1592321499
Neiafu,-18.65,-173.98,73.4,64,40,10.29,TO,1592321500
Gladstone,-23.85,151.25,68.0,72,37,6.93,AU,1592321500
Sørland,67.67,12.69,51.8,76,4,11.41,NO,1592321500
Coyhaique,-45.58,-72.07,37.4,93,75,5.82,CL,1592321500
Peniche,39.36,-9.38,75.0,76,1,8.99,PT,1592321500
Japura,-0.32,102.35,75.74,92,84,1.79,ID,1592321500
Nuuk,64.18,-51.72,35.6,93,75,17.22,GL,1592321270
Astorga,-23.23,-51.67,75.2,60,0,10.29,BR,1592321501
Mayo,38.89,-76.51,72.0,49,20,8.05,US,1592321501
Castro,-24.79,-50.01,65.03,75,78,7.18,BR,1592321386
Wattegama,6.8,81.48,82.4,94,40,9.17,LK,1592321501
Maïné Soroa,13.21,12.02,109.08,9,0,12.03,NE,1592321501
Kununurra,-15.77,128.73,78.8,27,0,11.41,AU,1592321501
Vostok,46.49,135.88,45.07,100,90,3.47,RU,1592321501
Adet,11.26,37.49,63.43,74,26,6.76,ET,1592321501
Hervey Bay,-25.3,152.85,66.2,88,40,8.05,AU,1592321502
Vasil'sursk,56.13,46.01,69.44,84,9,5.61,RU,1592321502
Vila,42.03,-8.16,64.99,70,57,10.0,PT,1592321502
Pangody,65.85,74.49,48.83,60,91,4.38,RU,1592321502
Ilhabela,-23.78,-45.36,72.52,75,16,9.46,BR,1592321502
Mahébourg,-20.41,57.7,71.6,73,75,12.75,MU,1592321502
Pisco,-13.7,-76.22,64.4,88,90,4.7,PE,1592321502
Bilma,18.69,12.92,109.26,6,0,19.28,NE,1592321393
Tshela,-4.98,12.93,81.05,70,59,3.56,CD,1592321503
Tralee,52.27,-9.7,57.2,93,75,6.93,IE,1592321503
Zhoucheng,35.91,116.31,66.61,78,100,2.46,CN,1592321503
Lata,40.16,-8.33,78.01,51,18,12.01,PT,1592321503
Padang,-0.95,100.35,80.49,80,85,4.45,ID,1592321376
Krasnosel'kup,65.7,82.47,45.05,67,48,7.4,RU,1592321503
Itaqui,-29.13,-56.55,75.51,73,100,15.28,BR,1592321503
Asău,46.43,26.4,64.0,87,46,2.86,RO,1592321383
Lourinhã,39.23,-9.32,75.0,76,2,8.99,PT,1592321504
Ennis,52.84,-8.99,60.8,82,75,8.05,IE,1592321504
Oranjemund,-28.55,16.43,70.65,21,22,13.04,NA,1592321504
São Filipe,14.9,-24.5,78.71,74,4,8.52,CV,1592321387
Volgodonsk,47.51,42.15,79.2,46,80,12.15,RU,1592321504
Pringsewu,-5.36,104.97,74.98,93,100,1.12,ID,1592321342
Pahrump,36.21,-115.98,78.01,33,0,10.0,US,1592321362
Carutapera,-1.2,-46.02,83.55,81,7,7.2,BR,1592321505
Hobbs,32.7,-103.14,75.99,57,40,16.11,US,1592321505
